,TOTALS,,,,AGE,,,,DRINKS,,,,RACE,,,,INDUSTRY,,,,ORIENTATION,,,,RELIGION,,,,LIST OF BIRACIAL RACES,,
25,1979,586,38,,18,18,18,,desperately,desperately,desperately,,asian,asian,asian,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"asian, middle eastern, black, native american, indian, pacific islander, hispanic / latin, white, other"
,,,,,18,18,18,,desperately,desperately,desperately,,asian,asian,asian,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"asian, middle eastern, black, native american, indian, pacific islander, hispanic / latin, white, other"
18-21,1860,767,104,,18,18,18,,desperately,desperately,desperately,,asian,asian,asian,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"asian, middle eastern, black, pacific islander"
22-25,6453,1979,132,,18,18,18,,desperately,desperately,desperately,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"black, hispanic / latin, white, other"
26-30,10551,2375,91,,18,18,18,,desperately,desperately,desperately,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"black, native american, hispanic / latin"
31-40,11232,1904,59,,18,18,18,,desperately,desperately,desperately,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"black, native american, indian, white"
41-50,4767,556,13,,18,18,18,,desperately,desperately,desperately,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"black, native american, white"
51-60,2071,169,4,,18,18,18,,desperately,desperately,desperately,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"black, other"
61-70,789,82,1,,18,18,18,,desperately,desperately,desperately,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"black, pacific islander"
,,,,,18,18,18,,desperately,desperately,desperately,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"middle eastern, black, native american, white"
,,,,,18,18,18,,desperately,desperately,desperately,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"middle eastern, black, white"
,,,,,18,18,19,,desperately,desperately,desperately,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"middle eastern, indian, other"
,,,,,18,18,19,,desperately,desperately,desperately,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"middle eastern, other"
,,,,,18,18,19,,desperately,desperately,desperately,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"middle eastern, white"
,,,,,18,18,19,,desperately,desperately,desperately,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"middle eastern, white"
,,,,,18,18,19,,desperately,desperately,desperately,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"native american, hispanic / latin"
,,,,,18,18,19,,desperately,desperately,desperately,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"native american, hispanic / latin"
,,,,,18,18,19,,desperately,desperately,desperately,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"native american, hispanic / latin, white"
,,,,,18,18,19,,desperately,desperately,desperately,,asian,asian,pacific islander,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"native american, hispanic / latin, white"
,,,,,18,18,19,,desperately,desperately,desperately,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"native american, white"
,,,,,18,18,19,,desperately,desperately,desperately,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"native american, white"
,,,,,18,18,19,,desperately,desperately,desperately,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"native american, white"
,,,,,18,18,19,,desperately,desperately,not at all,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"native american, white"
,,,,,18,18,19,,desperately,desperately,not at all,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"native american, white"
,,,,,18,18,19,,desperately,desperately,not at all,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,"native american, white, other"
,,,,,18,18,19,,desperately,desperately,not at all,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,
,,,,,18,18,19,,desperately,desperately,not at all,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,
,,,,,18,18,19,,desperately,desperately,not at all,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,
,,,,,18,18,19,,desperately,desperately,not at all,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,
,,,,,18,18,19,,desperately,desperately,not at all,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,
,,,,,18,18,20,,desperately,desperately,not at all,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,
,,,,,18,18,20,,desperately,desperately,not at all,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,
,,,,,18,18,20,,desperately,desperately,not at all,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,
,,,,,18,18,20,,desperately,desperately,not at all,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,
,,,,,18,18,20,,desperately,desperately,not at all,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,
,,,,,18,18,20,,desperately,desperately,not at all,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,agnosticism,,,,
,,,,,18,18,20,,desperately,desperately,not at all,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,atheism,,,,
,,,,,18,18,20,,desperately,desperately,not at all,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,atheism,,,,
,,,,,18,18,20,,desperately,desperately,not at all,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,atheism,,,,
,,,,,18,18,20,,desperately,desperately,not at all,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,atheism,,,,
,,,,,18,18,20,,desperately,desperately,not at all,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,atheism,,,,
,,,,,18,18,20,,desperately,desperately,often,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,atheism,,,,
,,,,,18,18,20,,desperately,desperately,often,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,atheism,,,,
,,,,,18,18,20,,desperately,desperately,often,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,atheism,,,,
,,,,,18,18,20,,desperately,desperately,often,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,atheism,,,,
,,,,,18,18,20,,desperately,desperately,often,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,atheism,,,,
,,,,,18,18,20,,desperately,desperately,often,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,bisexual,,agnosticism,agnosticism,atheism,,,,
,,,,,18,18,20,,desperately,desperately,often,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,18,20,,desperately,desperately,often,,asian,asian,black,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,18,20,,desperately,desperately,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,artistic / musical / writer,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,20,,desperately,desperately,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,banking / financial / real estate,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,20,,desperately,desperately,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,banking / financial / real estate,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,20,,desperately,desperately,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,banking / financial / real estate,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,20,,desperately,desperately,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,banking / financial / real estate,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,20,,desperately,desperately,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,banking / financial / real estate,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,20,,desperately,desperately,often,,asian,asian,"black, white",,artistic / musical / writer,artistic / musical / writer,banking / financial / real estate,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,20,,desperately,desperately,often,,asian,asian,"black, white",,artistic / musical / writer,artistic / musical / writer,clerical / administrative,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,20,,desperately,desperately,often,,asian,asian,"black, white",,artistic / musical / writer,artistic / musical / writer,clerical / administrative,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,"black, white",,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,"black, white",,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,"black, white",,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,"black, white",,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,gay,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,desperately,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,computer / hardware / software,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,not at all,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,construction / craftsmanship,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,not at all,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,construction / craftsmanship,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,not at all,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,construction / craftsmanship,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,not at all,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,construction / craftsmanship,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,not at all,often,,asian,asian,hispanic / latin,,artistic / musical / writer,artistic / musical / writer,construction / craftsmanship,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,construction / craftsmanship,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,construction / craftsmanship,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,education / academia,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,education / academia,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,education / academia,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,education / academia,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,education / academia,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,education / academia,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,education / academia,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,21,,desperately,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,education / academia,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,desperately,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,education / academia,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,desperately,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,education / academia,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,desperately,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,education / academia,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,desperately,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,education / academia,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,desperately,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,desperately,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,desperately,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,desperately,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,"hispanic / latin, white",,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,middle eastern,,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,middle eastern,,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,native american,,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
